restaurant_id,restaurant_name,cuisine_type
151,"Faasos - Wraps, Rolls & Shawarma",Pocket Friendly Rolls
152,Frespresso,Sea Food Apprtizer
153,Big Bowl,Recommended
154,Momo Magic Cafe,Pasta
155,Matkawala,Thukpa
156,Olio - The Wood Fired Pizzeria,House Special Garlic Breads!
157,Harish Bakery,"Namkeens, Wafers  & Chips"
158,Burger King,Exclusive Deals (Save Upto 40%)
159,Tasty Tastes - Nagmapal,Rolls
160,Ramdev'S Khana Khazana,Dal
161,Shyamasree Restaurant,Main Course
162,Sodhani Sweets And Namkeen,Bengali Sweets
163,Hola Pasta - Fresh Gourmet Pasta,Veg Starters
164,Krav,Sides
165,Theobroma,Cupcakes
166,Cafe Ertugrul,Combo'S ( Save Extra Upto 30% Off)
167,Nandhana Palace,Accompaniments
168,Mcdonald'S,Burger Combos ( 3 Pc Meals )
169,Kuppuswami,Recommended
170,Cafe Coffee Day,Croissants Reloaded
171,Domino'S Pizza,5 Course Pizza Feast
172,Lunchbox - Meals And Thalis,Recommended
173,Mcdonald'S,Deal Of The Day
174,Pizza Hut,Veg Pizza
175,Ratna Cafe (Estd.1948),Fresh Juices
176,Long Jhon Silver'S,Soup
177,Mccafe By Mcdonald'S,Coffee & Beverages (Hot And Cold)
178,Nic Ice Creams,100 Ml Ice Creams
179,Box8 - Desi Meals,Paratha Rolls
180,Bakingo,Recommended
181,Great Indian Khichdi By Eatfit,Ala Carte
182,Samridhi At Kochi,Breakfast
183,Baskin Robbins - Ice Cream Desserts,Fruit Ice Creams
184,Gangaur Govindam,Rice/Pulao/Biryani
185,Jain Mithai Bhandar (Jmb),Breakfast Bestsellers
186,The Good Bowl,Recommended
187,Awadhi,South Indian
188,Saurashtra Chawana & Sweets,Namkeen @ Rs. 99
189,Punjabi Darbaar Dhaba,Tandoor
190,Oven Story Pizza,2X Cheese Pizza
191,Sodhani Sweets,Sweets
192,Y Not Food Express,South Indian
193,Edesia By Freshmenu,Sandwiches
194,Beekays,Burgers
195,Mcdonald'S,The Ranveer Singh Meal
196,Prime Bakery & Sweets,Snacks
197,The Persian Table,Al Faham
198,Salem Rr Biriyani Unavagam,Salem Rr Non Veg Starters
199,Takeout - Asian Goodness,Mains
200,Wow! China,Bowls (Save Upto 40%)
201,Confucius (Silpukhuri),Mixed Soups
202,Swastik Mom'S Kitchen,Curry
203,Chinese Wok,Extra Dip & Crispy Noodles
204,Homely,Recommended
205,Lunchbox - Meals And Thalis,Rice Lunchbox
206,Arabikaas Arabian Restaurant,The Other Side (Appetizers)
207,Hira Sweets And Confectionary Pvt. Ltd.,Cookies & Namkeen
208,Big Bowl,Desserts
209,Itc Sunfeast Baked Creations,Croissants & Viennoiserie
210,Kfc,All Day Lunch Special Meal Box
211,Burger Farm,Recommended
212,Cheesecake & Co.,Jar
213,Bombay Mishthan Bhandar (Bmb) - Durapura,Indian Snacks
214,Jugaad Jn,Fries & Sandwich
215,1944 The Hocco Kitchen,Special Combo
216,Dindigul Thalappakatti - Since 1957,Breads & Parottas
217,Frys,Wraps & Rolls
218,Tihar Flavours Of Jail,Indian Non Veg Gravy
219,The Coconut,Vegetarian
220,Nandhana Palace,Mocktails & Juices
221,Srivari Bhimmas,Dosa Specialities
222,Kim Pou Restaurent,Main Course
223,Makhani Darbar,Non Veg Gravies
224,Box8 - Desi Meals,Desi Rice Bowls
225,Grits N Gravy,Combos
226,Itc Master Chef Creations,Dum Biryanis (900 Grams)
227,Bikaner Sweets And Namkeen,Chaat
228,Amritsari Food Platter,Indian Breads
229,Box8 - Desi Meals,Main Course
230,Kanti Sweets,Namkeen
231,Shiv Sagar Veg Restaurant,Soups
232,New Blue Moon,Recommended
233,Lunchbox - Meals And Thalis,Kulcha Lunchbox
234,Mughlai Restaurant,Breads
235,Wakhra Swaad,Chinese - Rice And Noodles
236,Wow! Momo,Fried Momo
237,Zaatar Arabic Restaurant,Soup
238,Box8 - Desi Meals,Recommended
239,Jain Mithai Bhandar (Jmb),Recommended
240,Pastas By Pizza Hut,Appetizers
241,Faasos' Signature Wraps & Rolls,Super Saver Combos
242,Burger King,New Whopper Deluxe (Reg. Size Bun)
243,Mahalaxmi Sweets & Restaurant,Breackfast
244,Sharma Dhaba,Sabjiya
245,The Biryani Life,Haleem Specials
246,Thalassery Restaurant,Recommended
247,Tan-Sukh By Kanha,Breads
248,South Indian Coffee House,Drinks
249,Kaveri - Lalpur,Soup
250,Makhani Darbar,Starters
251,Domino'S Pizza,Burgers & Parcels
252,La Pino'Z Pizza,Beverages
253,1944 The Hocco Kitchen,Continental
254,Shanghai Flavours Of China Town,Momo Mania
255,Kanti Sweets,Sweets
256,Shree Gangaur,Sweets
257,Edesia By Freshmenu,Desserts
258,Dream Cafe Jaipur,Chinese
259,Rominus Pizza And Burger,Taco'S
260,Wow! China,Wow! Birthday Save Up To41%
261,Sree Vishnu Bhavan,Breakfast Buffet
262,Sherowali Sweets,Sweets
263,Globo Ice Creams Of The World,Recommended
264,Priya Restaurant,Dal
265,Freshmenu,Appetizers
266,The Prashadam,Cakes
267,Food Exx,Rolls
268,Box8 - Desi Meals,Mini Thali Meals
269,Sangeetha'S Desi Mane - Annanagar,Chinese Starters
270,Munchies,Soup
